title,publication_date,viewCount,likeCount,commentCount,url
加藤 夕夏,2022-07-01,10091,467,42,https://www.youtube.com/watch?v=_87eezmlfLw
田中 雪乃,2022-06-20,10032,509,47,https://www.youtube.com/watch?v=-lfUIVr_O3k
山本 望叶,2022-06-04,61456,2260,238,https://www.youtube.com/watch?v=1a2Gz0eBHfQ
堀 詩音,2022-06-25,9321,430,25,https://www.youtube.com/watch?v=3LzuY-uCvqU
黒田 楓和,2022-06-29,9904,468,69,https://www.youtube.com/watch?v=40JFK_5BEXA
福野 杏実,2022-06-27,6324,387,37,https://www.youtube.com/watch?v=4ZK7h7O3KQQ
桜田 彩叶,2022-06-13,12142,625,41,https://www.youtube.com/watch?v=52lkDyNXFdo
鵜野 みずき,2022-06-24,9300,402,51,https://www.youtube.com/watch?v=5a80Kwof6so
川上 千尋,2022-06-25,13379,570,63,https://www.youtube.com/watch?v=6WRauvmVEHo
隅野 和奏,2022-06-18,11996,535,56,https://www.youtube.com/watch?v=8ZVfSi2BSFE
坂本 理紗,2022-06-12,13583,653,68,https://www.youtube.com/watch?v=ak8vXdyv7pA
石田 優美,2022-06-21,15411,756,96,https://www.youtube.com/watch?v=b3usvoGY0Kw
塩月 希依音,2022-06-24,13409,630,48,https://www.youtube.com/watch?v=bDfwpGr6xS8
早川 夢菜,2022-06-18,11458,510,49,https://www.youtube.com/watch?v=bOn7BiOLcBA
貞野 遥香,2022-06-29,9761,407,37,https://www.youtube.com/watch?v=E5f0Ud2Jb3M
浅尾 桃香,2022-06-14,14274,623,60,https://www.youtube.com/watch?v=ejADj73S8i4
出口 結菜,2022-06-26,7846,435,45,https://www.youtube.com/watch?v=eSpFOAaU8ZY
中野 美来,2022-06-23,7346,424,36,https://www.youtube.com/watch?v=fBUd0PkFLto
池 帆乃香,2022-06-06,18700,723,68,https://www.youtube.com/watch?v=FzDzcxk1-Q8
松岡 さくら,2022-06-05,27219,1329,159,https://www.youtube.com/watch?v=G4EdN96lR2k
坂田 心咲,2022-06-22,10794,547,42,https://www.youtube.com/watch?v=Gn4vEh8QW8A
瓶野 神音,2022-06-16,11879,575,37,https://www.youtube.com/watch?v=h5c_jAbMU9g
上西 怜,2022-06-16,31337,1204,113,https://www.youtube.com/watch?v=iBEJrO9ynDE
小嶋 花梨,2022-06-20,20086,967,97,https://www.youtube.com/watch?v=jj6nTMxGaTM
山本 光,2022-07-01,7083,349,29,https://www.youtube.com/watch?v=jLn25UMeivA
松本 海日菜,2022-06-11,5792,334,19,https://www.youtube.com/watch?v=JPbumXqUJ9Y
和田 海佑,2022-06-05,33676,1175,134,https://www.youtube.com/watch?v=KJTjDNdcV2I
芳野 心咲,2022-06-17,11710,593,82,https://www.youtube.com/watch?v=LH_tTvYF6vk
龍本 弥生,2022-06-14,8955,479,28,https://www.youtube.com/watch?v=mCoJaSwAk-o
新澤 菜央,2022-06-17,13803,656,59,https://www.youtube.com/watch?v=MRczUrh-yRw
水田 詩織,2022-06-27,13599,654,80,https://www.youtube.com/watch?v=NA0PuGy5LNE
坂下 真心,2022-06-26,7257,428,28,https://www.youtube.com/watch?v=nE4FSSVRp9c
李 始燕,2022-06-11,19431,816,75,https://www.youtube.com/watch?v=NyKY99Xr_nQ
佐月 愛果,2022-06-19,12690,596,36,https://www.youtube.com/watch?v=P4_7_-gCPjs
前田 令子,2022-06-10,17834,874,88,https://www.youtube.com/watch?v=PMnBuTD-5j8
黒島 咲花,2022-06-21,8064,438,36,https://www.youtube.com/watch?v=QFzo4n0YMUM
原 かれん,2022-06-23,13724,661,87,https://www.youtube.com/watch?v=rlYRfg3c_Ns
岡本 怜奈,2022-06-11,12293,584,50,https://www.youtube.com/watch?v=RZXqYzsa-2U
平山 真衣,2022-06-30,8133,401,30,https://www.youtube.com/watch?v=seAezcs930c
松野 美桜,2022-06-06,19254,724,51,https://www.youtube.com/watch?v=UP0c1BCmA1Q
渋谷 凪咲,2022-06-22,45350,1806,125,https://www.youtube.com/watch?v=V25irO3jitI
本郷 柚巴,2022-06-19,19104,781,92,https://www.youtube.com/watch?v=Vrd8WF94n2E
安部 若菜,2022-06-30,8086,432,53,https://www.youtube.com/watch?v=VriqZszzNMQ
泉 綾乃,2022-06-12,13689,644,46,https://www.youtube.com/watch?v=x_DzmG1c1mg
眞鍋 杏樹,2022-06-13,12347,647,47,https://www.youtube.com/watch?v=ypsJH3WqtUI
